name,address,website,stars
jū-ni,"1335 Fulton St., San Francisco 94117",http://www.junisf.com,1
Mister Jiu's,"28 Waverly Pl., San Francisco 94108",http://www.misterjius.com,1
Hashiri,"4 Mint Plaza, San Francisco 94103",http://www.hashirisf.com,1
In Situ,"151 Third St., San Francisco 94103",http://insitu.sfmoma.org,1
Band of Bohemia,"4710 N. Ravenswood Ave., Chicago 60640",http://www.bandofbohemia.com,1
Roister,"951 W. Fulton Market, Chicago 60607",http://www.roisterrestaurant.com,1
Nix,"72 University Pl., New York 10003",http://www.nixny.com,1
Agern,"89 E. 42nd St., New York 10017",http://www.agernrestaurant.com,1
L'Appart,"225 Liberty St., New York 10281",http://www.lappartnyc.com,1
Günter Seeger NY,"641 Hudson St., New York 10014",http://www.gunterseegerny.com,1
Kosaka,"220 W. 13th St., New York 10011",http://www.kosakanyc.com,1
Sushi Inoue,"381 Lenox Ave., New York 10027",http://www.sushiinoue.com,1
Le Coucou,"138 Lafayette St., New York 10013",http://www.lecoucou.com,1
Daniel,"60 E. 65th St., New York 10065",http://www.danielnyc.com,2
Aquavit,"65 E. 55th St., New York 10022",http://www.aquavit.org,2
Jean-Georges,"1 Central Park West, New York 10023",http://www.jean-georgesrestaurant.com,2
The Modern,"9 W. 53rd St., New York 10019",http://www.themodernnyc.com,2
Acquerello,"1722 Sacramento St., San Francisco 94109",http://www.acquerello.com,2
Coi,"373 Broadway, San Francisco 94133",http://www.coirestaurant.com,2
Ko,"8 Extra Pl., New York 10003",http://www.momofuku.com,2
Marea,"240 Central Park South, New York 10019",http://www.marea-nyc.com,2
Commis,"3859 Piedmont Ave., Oakland 94601",http://www.commisrestaurant.com,2
Baumé,"201 S. California Ave., Palo Alto 94306",http://www.maisonbaume.com,2
Jungsik,"2 Harrison St., New York 10013",http://www.jungsik.com,2
Acadia,"1639 S. Wabash Ave., Chicago 60616",http://www.acadiachicago.com,2
Atera,"77 Worth St., New York 10013",http://www.ateranyc.com,2
Blanca,"261 Moore St., Brooklyn 11206",http://www.blancanyc.com,2
Ichimura at Uchū,"217 Eldridge St., New York 10002",http://www.uchu.nyc,2
L'Atelier de Joël Robuchon,"85 Tenth Ave., New York",http://www.joelrobuchonusa.com,2
Tetsu Basement,"78 Leonard St., New York",http://www.tetsunyc.com,2
Gabriel Kreuther,"41 W. 42nd St., New York 10036",http://www.gknyc.com,2
Californios,"3115 22nd St., San Francisco 94110",http://www.californiossf.com,2
